PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A38	A	-1	0	1	9	22	130	160	140	6.464191371	0	0	0	3	3	1	0.602059991	0	0.373	0.395	0.264	1.002	1.158	0.535	0.416	0.404	0.411	0.331	0.265	0.272	0.296	0.098	0.322	0.653
A39	A	-1	0	1	10.75	24.5	225	40	20	5.255272505	0	0	0	1	1	1	0.301029996	0	0.415	0.505	0.292	1.024	1.201	0.561	0.469	0.45	0.422	0.269	0.244	0.273	0.229	0.276	0.216	0.644
A40	A	-1	0	1	12	23.25	160	130	140	6.464191371	0	0	0	1	1	1	0.301029996	0	0.352	0.519	0.305	0.849	1.195	0.578	0.46	0.453	0.417	0.228	0.252	0.277	0.277	0.242	0.278	0.654
A41	A	-1	0	1	14.75	25.5	110	40	40	5.245512668	0	0	0	0	0	0	0	0	0.739	0.756	0.33	0.94	1.206	0.589	0.647	0.565	0.433	0.357	0.298	0.283	0.217	0.539	0.265	0.686
A42	A	-1	0	1	14.75	22.75	160	150	120	6.459392488	0	0	0	1	1	1	0.301029996	0	0.389	0.611	0.327	1.149	1.272	0.597	0.45	0.467	0.415	0.189	0.267	0.283	0.36	0.251	0.319	0.678
A43	A	-1	0	1	13.25	21.25	130	180	180	6.624488363	0	0	0	1	1	1	0.301029996	0	0.372	0.545	0.313	1.118	1.275	0.59	0.446	0.419	0.404	0.294	0.292	0.281	0.419	0.126	0.345	0.663
A45	A	-1	0	1	14.5	20.75	150	130	180	6.545307116	2	0	0	1	3	1	0.602059991	0.666666667	0.323	0.563	0.319	1.12	1.287	0.596	0.288	0.358	0.395	0.152	0.238	0.274	0.448	0.114	0.28	0.664
A46	A	-1	0	1	14.25	22	130	100	100	6.113943352	0	0	0	1	1	1	0.301029996	0	0.431	0.592	0.323	1.418	1.342	0.597	0.421	0.437	0.41	0.219	0.271	0.282	0.409	0.183	0.333	0.671
A47	A	-1	0	1	17	20.75	170	170	120	6.540079089	2	0	0	1	3	1	0.602059991	0.666666667	0.466	0.699	0.331	0.763	1.166	0.594	0.316	0.347	0.395	0.261	0.281	0.28	0.562	0.137	0.276	0.642
A48	A	-1	0	1	18.75	22	140	230	240	6.888067113	3	0	0	9	12	1	1.113943352	0.25	0.351	0.605	0.322	0.718	1.063	0.582	0.498	0.445	0.415	0.373	0.349	0.291	0.391	0.214	0.341	0.637
